,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
781,1,1,female,17.0,1,0,57.0,S
782,0,1,male,29.0,0,0,30.0,S
783,0,3,male,29.69911764705882,1,2,23.45,S
785,0,3,male,25.0,0,0,7.25,S
786,1,3,female,18.0,0,0,7.4958,S
787,0,3,male,8.0,4,1,29.125,Q
790,0,3,male,29.69911764705882,0,0,7.75,Q
791,0,2,male,16.0,0,0,26.0,S
793,0,1,male,29.69911764705882,0,0,30.6958,C
794,0,3,male,25.0,0,0,7.8958,S
795,0,2,male,39.0,0,0,13.0,S
796,1,1,female,49.0,0,0,25.9292,S
797,1,3,female,31.0,0,0,8.6833,S
798,0,3,male,30.0,0,0,7.2292,C
799,0,3,female,30.0,1,1,24.15,S
800,0,2,male,34.0,0,0,13.0,S
801,1,2,female,31.0,1,1,26.25,S
805,0,3,male,31.0,0,0,7.775,S
807,0,3,female,18.0,0,0,7.775,S
808,0,2,male,39.0,0,0,13.0,S
809,1,1,female,33.0,1,0,53.1,S
810,0,3,male,26.0,0,0,7.8875,S
811,0,3,male,39.0,0,0,24.15,S
812,0,2,male,35.0,0,0,10.5,S
813,0,3,female,6.0,4,2,31.275,S
814,0,3,male,30.5,0,0,8.05,S
816,0,3,female,23.0,0,0,7.925,S
817,0,2,male,31.0,1,1,37.0042,C
819,0,3,male,10.0,3,2,27.9,S
821,1,3,male,27.0,0,0,8.6625,S
823,1,3,female,27.0,0,1,12.475,S
826,0,3,male,29.69911764705882,0,0,56.4958,S
828,1,3,male,29.69911764705882,0,0,7.75,Q
830,1,3,female,15.0,1,0,14.4542,C
832,0,3,male,29.69911764705882,0,0,7.2292,C
833,0,3,male,23.0,0,0,7.8542,S
834,0,3,male,18.0,0,0,8.3,S
836,0,3,male,21.0,0,0,8.6625,S
837,0,3,male,29.69911764705882,0,0,8.05,S
838,1,3,male,32.0,0,0,56.4958,S
839,1,1,male,29.69911764705882,0,0,29.7,C
840,0,3,male,20.0,0,0,7.925,S
841,0,2,male,16.0,0,0,10.5,S
842,1,1,female,30.0,0,0,31.0,C
844,0,3,male,17.0,0,0,8.6625,S
845,0,3,male,42.0,0,0,7.55,S
847,0,3,male,35.0,0,0,7.8958,C
848,0,2,male,28.0,0,1,33.0,S
850,0,3,male,4.0,4,2,31.275,S
852,0,3,female,9.0,1,1,15.2458,C
853,1,1,female,16.0,0,1,39.4,S
854,0,2,female,44.0,1,0,26.0,S
855,1,3,female,18.0,0,1,9.35,S
857,1,1,male,51.0,0,0,26.55,S
858,1,3,female,24.0,0,3,19.2583,C
859,0,3,male,29.69911764705882,0,0,7.2292,C
860,0,3,male,41.0,2,0,14.1083,S
861,0,2,male,21.0,1,0,11.5,S
862,1,1,female,48.0,0,0,25.9292,S
864,0,2,male,24.0,0,0,13.0,S
865,1,2,female,42.0,0,0,13.0,S
866,1,2,female,27.0,1,0,13.8583,C
867,0,1,male,31.0,0,0,50.4958,S
868,0,3,male,29.69911764705882,0,0,9.5,S
869,1,3,male,4.0,1,1,11.1333,S
870,0,3,male,26.0,0,0,7.8958,S
871,1,1,female,47.0,1,1,52.5542,S
873,0,3,male,47.0,0,0,9.0,S
874,1,2,female,28.0,1,0,24.0,C
875,1,3,female,15.0,0,0,7.225,C
876,0,3,male,20.0,0,0,9.8458,S
877,0,3,male,19.0,0,0,7.8958,S
878,0,3,male,29.69911764705882,0,0,7.8958,S
880,1,2,female,25.0,0,1,26.0,S
881,0,3,male,33.0,0,0,7.8958,S
882,0,3,female,22.0,0,0,10.5167,S
883,0,2,male,28.0,0,0,10.5,S
885,0,3,female,39.0,0,5,29.125,Q
886,0,2,male,27.0,0,0,13.0,S
887,1,1,female,19.0,0,0,30.0,S
888,0,3,female,29.69911764705882,1,2,23.45,S
889,1,1,male,26.0,0,0,30.0,C
890,0,3,male,32.0,0,0,7.75,Q
